Gender,Major,Program,GPA
Male,PhD,CND,8.820901152475606
Male,MS,CHD,7.348493187757098
Female,B.Tech,ECE,7.834340078081521
Male,PhD,CHD,7.55025389284729
Male,MS,CHD,7.188135531040604
Male,B.Tech,ECE,5.885259955836218
Female,B.Tech,CSE,5.94695782214738
Male,MS,CND,8.242003318619407
Male,MS,CND,7.498760368752202
Male,MS,CSE,7.411559929719944
Male,MS,ECE,7.167262895660342
Male,B.Tech,ECE,7.354910764625594
Male,B.Tech,CSE,5.3588935617315965
Male,PhD,CND,7.877243670305111
Male,B.Tech,CHD,6.178342658366771
Male,B.Tech,CSE,6.50692157144968
Female,MS,CND,7.32783042535514
Female,MS,ECE,9.434718275470551
Male,B.Tech,ECE,6.38852177695157
Male,B.Tech,ECE,6.75853243158064
Male,B.Tech,ECE,7.160087167238884
Female,MS,CSE,8.198458058185482
Male,MS,CHD,7.082284532535428
Female,B.Tech,ECE,7.169163270250277
Female,B.Tech,ECE,7.769286593900514
Female,B.Tech,ECE,6.0744277301597265
Male,B.Tech,ECE,7.051217513090678
Female,B.Tech,CND,7.088570940139505
Female,B.Tech,ECE,7.281103298592275
Male,MS,CSE,7.925162296252416
Male,B.Tech,CHD,7.863838394953593
Female,B.Tech,CSE,6.984244412402755
Female,B.Tech,CND,6.0902827039740925
Female,B.Tech,ECE,6.283379104947493
Female,MS,ECE,9.03711152364282
Female,B.Tech,ECE,8.169148968014015
Male,B.Tech,CSE,5.739025132542663
Male,B.Tech,ECE,5.8711511698044845
Female,B.Tech,CSE,6.670622815109445
Male,MS,CSE,8.51951703277448
Male,B.Tech,ECE,6.641048548079024
Other,MS,ECE,8.100567001735355
Male,B.Tech,CHD,7.406856091478348
Female,B.Tech,CSE,6.75177513314552
Female,B.Tech,CHD,6.440451752528684
Female,B.Tech,CSE,6.760331567988974
Male,MS,CSE,9.539410420610142
Female,B.Tech,ECE,6.058110211452375
Male,B.Tech,ECE,7.639228440784011
Male,B.Tech,ECE,7.635204538426773
Male,B.Tech,CSE,5.7579108820538245
Female,MS,CND,8.914409215766263
Male,B.Tech,CND,6.632778869432479
Female,B.Tech,CHD,8.282563782841475
Male,MS,ECE,6.699224093518529
Male,B.Tech,ECE,7.792578287459912
Male,PhD,CHD,8.644503005484433
Male,B.Tech,ECE,6.277241457415956
Male,B.Tech,ECE,6.4062603868872365
Male,B.Tech,CSE,7.361841672059253
Male,MS,CSE,8.635043496331487
Female,B.Tech,ECE,7.107466470541132
Male,B.Tech,CSE,5.387384764530619
Male,B.Tech,ECE,7.607696995713416
Female,B.Tech,CSE,7.56266687555849
Male,B.Tech,ECE,6.423646043066116
Male,B.Tech,ECE,6.5391549687056765
Male,B.Tech,CHD,6.453332955878233
Male,PhD,CHD,7.864465029057103
Male,B.Tech,CSE,6.444929784804971
Male,B.Tech,ECE,8.262269329230337
Male,B.Tech,CHD,7.346227001752994
Male,B.Tech,CSE,6.478252446654319
Male,B.Tech,ECE,8.122986017932805
Male,B.Tech,CND,7.1959918377281955
Male,MS,CHD,6.853120660921622
Male,MS,CND,6.565892536870154
Female,B.Tech,ECE,4.778833266352945
Male,PhD,CSE,8.404968569900944
Female,B.Tech,CSE,6.09786598140589
Male,MS,ECE,7.871082838017271
Male,MS,ECE,7.609436925925129
Male,B.Tech,CSE,8.26220834345482
Male,PhD,CSE,9.000261491382206
Female,B.Tech,CND,8.43524365950594
Male,PhD,ECE,8.31780222008259
Male,B.Tech,ECE,7.606280179779503
Female,B.Tech,ECE,6.0879342429644545
Male,PhD,ECE,8.195419079550867
Male,B.Tech,CSE,6.361003124361728
Male,B.Tech,CHD,6.005367207868868
Male,B.Tech,CSE,6.745073464627894
Male,B.Tech,CSE,5.713165209519458
Female,MS,CSE,7.360700815589126
Male,B.Tech,CND,6.048593455275368
Female,B.Tech,ECE,8.11062670666084
Female,PhD,CSE,8.24405660732008
Female,MS,ECE,7.4446513032145045
Female,B.Tech,ECE,5.75705295262353
Male,B.Tech,CSE,8.435185935086627
Male,B.Tech,CSE,6.461829728448151
Male,B.Tech,CSE,5.92251025005556
Male,B.Tech,CSE,6.594718059179102
Male,B.Tech,CSE,7.430150049515825
Female,MS,CHD,7.870416056192442
Male,PhD,CHD,8.043870539332293
Male,PhD,CHD,7.5415729112797685
Male,MS,CSE,8.50384685418842
Female,B.Tech,CSE,6.874934303825758
Female,PhD,CSE,8.460383595535056
Female,B.Tech,CSE,7.783924938092932
Male,B.Tech,CHD,6.345081564289873
Female,B.Tech,CND,6.879375741503018
Male,B.Tech,CSE,7.181975169419375
Male,B.Tech,ECE,6.940815931747814
Male,B.Tech,ECE,7.757418503008029
Female,PhD,CND,8.055976183685173
Female,B.Tech,CHD,5.221207126655441
Female,B.Tech,CSE,7.04935382790563
Male,B.Tech,ECE,6.764762271933191
Male,B.Tech,ECE,7.830508764595588
Male,B.Tech,ECE,5.466791521187663
Male,MS,CND,8.255314752955751
Female,B.Tech,CSE,6.4556412993714405
Male,MS,CHD,6.79151889628289
Other,MS,CHD,7.316006987430749
Male,B.Tech,ECE,6.615895193427008
Female,B.Tech,ECE,6.74764725877297
Female,PhD,CND,7.798455776090719
Male,MS,ECE,9.53099066622988
Male,B.Tech,CHD,7.178256951998216
Female,MS,CHD,7.877259997323859
Male,B.Tech,ECE,6.600385829168546
Male,B.Tech,ECE,6.829951631684658
Female,MS,ECE,7.927984680036715
Male,B.Tech,CSE,7.154763521231736
Male,B.Tech,CND,8.071170713472055
Male,MS,ECE,7.996211487649726
Male,B.Tech,CSE,7.721637687435755
Other,B.Tech,CSE,7.642602914153698
Male,MS,CND,7.760776230732013
Male,MS,ECE,7.406681254054387
Male,PhD,CND,8.286896554657888
Male,PhD,ECE,8.505603720408907
Male,B.Tech,CND,7.802066077839656
Male,B.Tech,CHD,6.235245341857196
Male,B.Tech,CSE,7.828539971418305
Female,MS,CHD,7.388927836694942
Female,MS,ECE,7.828722170157672
Male,B.Tech,ECE,6.685901754368757
Female,B.Tech,ECE,7.127257270161745
Male,MS,CSE,7.404634568441033
Female,B.Tech,CSE,7.219826978291366
Male,B.Tech,ECE,7.540904330668742
Male,B.Tech,ECE,8.13765008817197
Male,MS,ECE,8.379199405183588
Male,MS,CSE,7.988914323985431
Female,B.Tech,CHD,6.825794891995365
Male,MS,CSE,8.296201433274382
Male,MS,ECE,8.433899827291457
Male,B.Tech,CND,6.081252811012931
Male,B.Tech,CSE,6.428571954787838
Female,PhD,CSE,7.970903900678904
Female,MS,ECE,7.4455193083331705
Female,B.Tech,CSE,6.916200496105917
Male,B.Tech,CSE,6.750644260730075
Male,B.Tech,ECE,7.265393708123847
Male,B.Tech,CSE,7.612534669428246
Male,B.Tech,ECE,7.14109387258357
Female,B.Tech,CSE,5.072214394604716
Female,MS,ECE,9.43508883840462
Male,B.Tech,CSE,6.54411849339152
Female,B.Tech,ECE,6.270513905588205
Male,B.Tech,CSE,6.853769764687013
Male,MS,CSE,8.377837474707855
Male,B.Tech,CSE,9.254109684108482
Female,B.Tech,ECE,7.33049889268152
Female,B.Tech,CSE,8.108288570194171
Male,B.Tech,CSE,9.496158465104843
Male,B.Tech,CSE,7.112792199907201
Male,B.Tech,CSE,7.00425470091931
Male,MS,CSE,7.846240187114482
Male,MS,ECE,8.747179012889832
Male,B.Tech,CHD,6.687262193397103
Female,B.Tech,ECE,6.085557231177689
Male,MS,CSE,8.616194648756174
Male,PhD,CSE,8.013924932053046
Male,MS,CND,9.104712361560336
Male,B.Tech,CND,6.396530715521374
Female,B.Tech,CSE,4.0
Female,B.Tech,CSE,7.659937871288146
Male,B.Tech,CSE,5.425030434833291
Male,B.Tech,ECE,7.37651061860916
Male,B.Tech,CHD,6.015671990544354
Female,B.Tech,CSE,8.17750993297874
Female,B.Tech,CSE,6.462296907062607
Female,B.Tech,ECE,7.224998159089881
Male,B.Tech,CHD,6.219930463220522
Female,PhD,CND,8.065611962443727
Male,MS,CND,7.242066421037344
Male,MS,ECE,7.78955216133059
Male,B.Tech,ECE,5.395295283589064
Female,MS,CSE,8.052926052284452
Male,B.Tech,ECE,8.587561593137218
Male,MS,CSE,8.327497853810568
Male,MS,CSE,8.489802095187455
Male,MS,CSE,8.913423628957771
Male,PhD,CSE,8.37239607597046
Male,B.Tech,CHD,8.17312681573604
Female,PhD,CSE,8.402437639003455
Female,MS,CSE,6.599725820590395
Male,B.Tech,CSE,5.920710803584868
Other,MS,ECE,8.419557874424482
Female,MS,CND,7.319872238936153
Female,B.Tech,CHD,8.01527635245085
Female,B.Tech,CSE,7.2142483899229415
Female,B.Tech,ECE,7.79048448343766
Female,B.Tech,CND,5.235494807031017
Male,B.Tech,CHD,5.795860650788142
Female,PhD,ECE,9.119954837825931
Male,B.Tech,ECE,7.893154037647937
Male,B.Tech,ECE,8.46472359618106
Male,B.Tech,CSE,7.8599786950247035
Male,MS,CND,7.893639486816412
Male,MS,CHD,7.543196520143897
Male,B.Tech,ECE,7.227097204881385
Female,B.Tech,ECE,7.962098820590365
Female,B.Tech,ECE,7.9984135661548335
Female,B.Tech,CND,4.816229426179984
Male,PhD,CSE,8.559518233860063
Female,B.Tech,CSE,6.922013870929468
Male,MS,CHD,7.841821846629354
Male,MS,CSE,7.40975007154612
Male,MS,ECE,8.010293785316646
Female,B.Tech,CSE,6.504161985285571
Female,PhD,CND,8.268362030325475
Male,B.Tech,ECE,5.648205680016213
Female,B.Tech,CSE,7.62601776872987
Male,MS,CSE,7.944398920613721
Female,B.Tech,ECE,6.744490038263086
Male,B.Tech,CSE,7.329540194908888
Female,B.Tech,CSE,6.3507850209330154
Male,MS,CHD,8.820673024817074
Female,B.Tech,ECE,6.150359515586354
Male,B.Tech,CND,7.566714449803534
Female,MS,CND,7.652806093611496
Female,B.Tech,CSE,7.704125272545781
Female,MS,CND,8.551321836534969
Male,PhD,CND,8.359457036400437
Male,MS,CHD,9.367327825171618
Male,MS,ECE,8.733452040475903
Female,MS,CSE,8.883374999881688
Male,B.Tech,CHD,6.8925503461120545
Male,B.Tech,CSE,5.3518214510982585
Female,B.Tech,ECE,7.369021192061217
Male,B.Tech,ECE,7.378229508329611
Female,B.Tech,CSE,4.634273365597668
Female,B.Tech,CSE,6.332726046550278
Female,PhD,ECE,8.68175027202693
Male,B.Tech,ECE,6.657112239565422
Male,B.Tech,ECE,6.669342464011686
Male,B.Tech,ECE,7.1005582043925495
Male,PhD,CSE,8.260000878925636
Male,B.Tech,ECE,7.491071571568309
Male,B.Tech,CND,7.6352993595270835
Male,B.Tech,ECE,7.260858731272833
Male,PhD,CND,9.108010267330371
Male,MS,CND,8.286899904215304
Male,B.Tech,ECE,6.939515364088693
Male,MS,CHD,7.717048520343157
Male,B.Tech,CND,5.8805984573127965
Male,B.Tech,ECE,7.673445518226071
Male,PhD,CND,8.810908843277808
Male,B.Tech,ECE,7.053687201224905
Male,B.Tech,ECE,7.560908143357338
Male,B.Tech,ECE,6.496836871648202
Male,B.Tech,CHD,5.4679772453290285
Male,MS,ECE,7.51194213511908
Female,B.Tech,ECE,7.152285820605181
Female,B.Tech,CND,5.64986194296078
Male,B.Tech,ECE,6.875785335457353
Female,MS,CSE,7.925847166317549
Male,B.Tech,CSE,6.331871827231906
Male,B.Tech,ECE,6.413694834720545
Male,B.Tech,ECE,5.484552282137462
Other,B.Tech,ECE,6.4043281125799325
Male,B.Tech,CSE,8.30278894894551
Male,B.Tech,CSE,9.273099342220466
Male,B.Tech,CSE,6.864898705396133
Male,B.Tech,ECE,8.123512801708953
Male,B.Tech,CSE,7.041233162637538
Male,MS,CHD,6.812040173109985
Female,B.Tech,CSE,5.38076257165521
Male,B.Tech,CSE,4.0
Female,MS,CSE,6.561661764618501
Male,B.Tech,ECE,5.896081230523588
Male,B.Tech,ECE,8.244400464303125
Male,MS,CSE,7.640515205479062
Male,B.Tech,CSE,6.610738272027116
Male,B.Tech,CND,6.768335803238803
Female,B.Tech,CSE,6.625640741352553
Male,B.Tech,ECE,8.037503892169951
Male,MS,CSE,8.317800806575088
Female,B.Tech,CSE,8.135544505939746
Male,MS,CSE,7.68002679383944
Male,B.Tech,ECE,6.316582680617057
Female,MS,ECE,8.753739889024919
Male,B.Tech,ECE,6.3380573186838625
Male,B.Tech,CSE,7.245294908817644
Male,B.Tech,ECE,7.214467816868315
Male,B.Tech,CSE,5.553546340666632
Female,MS,CND,8.598413118751173
Male,MS,CHD,7.070382308482704
Male,B.Tech,ECE,9.309906772367611
Male,MS,ECE,8.499743035081611
Male,MS,CSE,7.222159333723056
Male,B.Tech,CND,6.99184696567308
Female,B.Tech,ECE,6.47547913392986
Male,MS,CSE,8.749318399517081
Male,B.Tech,ECE,7.05950977045355
Female,B.Tech,CND,5.925925194313345
Male,B.Tech,ECE,7.379569553538267
Male,B.Tech,CSE,5.422524935110713
Male,B.Tech,CHD,7.58449903401287
Male,B.Tech,CSE,7.167170143330474
Male,B.Tech,ECE,6.090505900712251
Male,PhD,ECE,8.065599344251503
Male,B.Tech,CSE,6.815034333120605
Male,MS,ECE,8.480547581830093
Male,B.Tech,CSE,6.272482488089663
Male,B.Tech,CSE,7.697804735377837
Male,B.Tech,ECE,7.356950171931548
Male,B.Tech,ECE,9.398165757314333
Male,MS,ECE,8.495632961811856
Male,B.Tech,CSE,7.030907614756818
Male,B.Tech,ECE,6.28083825860128
Male,B.Tech,CSE,6.983978299744921
Female,B.Tech,CSE,7.891471270503979
Female,B.Tech,ECE,7.787343641798547
Male,PhD,CND,8.840664377238289
Male,B.Tech,ECE,6.018126495004391
Male,B.Tech,CHD,8.35232922553638
Male,B.Tech,ECE,6.7698805069038865
Male,MS,ECE,8.324282845898793
Female,B.Tech,CSE,6.371376926079843
Male,PhD,CND,8.351778377952257
Female,PhD,CHD,8.27906704575113
Female,B.Tech,CHD,7.811854297663332
Male,B.Tech,ECE,6.3035614598925305
Female,B.Tech,CSE,7.818464259510529
Female,B.Tech,ECE,6.992795587874869
Female,B.Tech,ECE,8.397869916902915
Male,B.Tech,CND,7.24416183081278
Male,MS,CND,8.472689040487948
Other,B.Tech,CND,7.5648436021457375
Male,MS,CHD,6.922094437177616
Female,B.Tech,CHD,7.544882266605459
Female,PhD,ECE,8.698303629980225
Male,B.Tech,ECE,7.925665145302229
Male,B.Tech,CSE,7.119587152232788
Female,MS,CND,8.211826641639675
Male,MS,CHD,8.764393046933936
Male,PhD,CSE,7.820956306596663
Male,MS,ECE,7.488184976371231
Male,B.Tech,ECE,5.483264323330541
Female,MS,CHD,8.459938465318679
Male,B.Tech,ECE,6.689176820059983
Male,B.Tech,CSE,5.4101734374138495
Female,B.Tech,ECE,7.2506966718118235
Male,B.Tech,CSE,5.831585140526392
Female,B.Tech,ECE,6.4147860661128755
Male,B.Tech,CSE,5.7116059047005665
Male,B.Tech,ECE,6.464478483429602
Female,B.Tech,ECE,8.196654235104678
Female,B.Tech,CSE,10.0
Female,MS,ECE,7.89280413104922
Female,B.Tech,CND,8.130370168285397
Male,B.Tech,ECE,8.050631371898605
Male,MS,ECE,7.426862488249483
Male,B.Tech,CSE,8.139190547595735
Female,B.Tech,CND,6.868737835174393
Male,B.Tech,CSE,6.519063979358445
Male,B.Tech,CSE,8.039247900042696
Male,B.Tech,CSE,6.967395399685442
Male,B.Tech,ECE,7.015529911291736
Male,B.Tech,CSE,6.823447536367095
Male,B.Tech,CSE,6.93064894310179
Male,B.Tech,ECE,6.96605147264475
Male,MS,CSE,8.111149822978685
Female,B.Tech,CND,9.05451093276942
Female,MS,ECE,6.700171699822617
Male,B.Tech,CSE,6.562747633109249
Female,B.Tech,ECE,9.218053802607942
Male,B.Tech,ECE,6.446550315540136
Female,B.Tech,ECE,7.847597845998268
Male,B.Tech,ECE,6.795137515643115
Male,MS,ECE,8.65424554457038
Male,B.Tech,ECE,7.5657109243755345
Female,PhD,CHD,7.86826777400308
Male,B.Tech,CSE,8.32630632594584
Male,B.Tech,CHD,8.175821434903112
Female,B.Tech,CHD,7.113054597001621
Male,B.Tech,CND,6.712379489512469
Male,B.Tech,CSE,8.854599184350093
Male,B.Tech,CSE,9.417342497215442
Male,B.Tech,CSE,7.36928720689258
Male,B.Tech,ECE,8.748873279120005
Male,MS,CHD,9.224634910611563
Male,B.Tech,ECE,6.273207859396871
Male,MS,CSE,6.531113625755405
Male,B.Tech,ECE,5.660663943022633
Male,B.Tech,ECE,9.005637792986988
Female,PhD,CSE,9.422242138549473
Male,MS,ECE,8.556851441850332
Other,B.Tech,CHD,9.119374688579946
Male,PhD,CND,9.518860269067345
Male,B.Tech,CHD,6.393999526646927
Male,B.Tech,CSE,7.8915536086303035
Male,B.Tech,CSE,7.5051537683997465
Male,B.Tech,CSE,9.464567727521453
Male,B.Tech,CSE,7.3703605654828905
Female,B.Tech,CSE,6.646129422555381
Female,B.Tech,ECE,5.986235118301057
Male,B.Tech,CSE,7.6476400312737844
Female,PhD,CSE,8.602124575029489
Male,B.Tech,CND,7.3371770905087095
Male,B.Tech,CSE,7.743008934747221
Female,B.Tech,CSE,7.421504449988634
Other,B.Tech,ECE,8.699657298184786
Male,B.Tech,ECE,8.000637121439059
Male,B.Tech,CSE,8.555079812402516
Male,B.Tech,CND,5.814757411925166
Male,B.Tech,ECE,7.332051701091057
Female,B.Tech,CHD,7.1074036710263
Male,MS,CSE,7.523352376099092
Male,B.Tech,CSE,7.012695982774133
Male,PhD,CND,9.269140497717428
Female,B.Tech,ECE,8.713905841982871
Female,B.Tech,CSE,8.533017307274763
Male,B.Tech,CHD,6.074097279624805
Female,B.Tech,ECE,7.86361371534346
Female,B.Tech,CHD,5.700420178921517
Male,PhD,CHD,8.555936448933418
Male,MS,CSE,7.368435417977588
Female,PhD,ECE,8.87164178874201
Male,PhD,ECE,8.447504485575513
Male,B.Tech,CHD,6.958103048676359
Female,B.Tech,ECE,7.501241147273572
Female,PhD,ECE,8.397447983459932
Male,B.Tech,ECE,6.540090281193156
Male,B.Tech,CSE,6.844837744098509
Male,B.Tech,CHD,7.932797713054644
Male,B.Tech,ECE,7.843882877961769
Male,B.Tech,CND,6.673550061664661
Male,B.Tech,CND,6.6075174150709755
Male,PhD,ECE,7.98716655589058
Male,B.Tech,ECE,4.7604624234697805
Male,B.Tech,CSE,6.829391305388546
Male,B.Tech,CND,6.280062823692948
Male,B.Tech,CSE,7.749704941342737
Male,B.Tech,CSE,6.253266703629481
Male,B.Tech,CHD,6.541780807485886
Female,B.Tech,CND,5.267369216408345
Male,MS,CSE,7.382281591838157
Male,PhD,ECE,8.569148339280389
Female,B.Tech,ECE,7.304554034642711
Male,B.Tech,CSE,7.155766865081664
Male,MS,ECE,7.405554985406188
Male,B.Tech,CSE,8.75773905315294
Male,B.Tech,CSE,6.446649307647629
Male,B.Tech,CHD,5.751610059220953
Female,B.Tech,ECE,7.853089624848
Male,B.Tech,CSE,7.612050204110216
Female,B.Tech,ECE,6.457717623731592
Female,PhD,CHD,7.617140017119795
Male,MS,CSE,8.878984204382741
Female,MS,ECE,8.887135015621858
Male,B.Tech,ECE,7.110241291898458
Female,B.Tech,ECE,5.909341146938959
Female,MS,CSE,7.6609201885182125
Female,B.Tech,ECE,7.94890200720511
Male,B.Tech,ECE,6.214311365704345
Male,B.Tech,ECE,8.134581549146946
Male,B.Tech,CSE,6.690723147035686
Male,MS,CSE,8.137813517986075
Female,B.Tech,ECE,7.1277764241986965
Male,MS,CND,7.906573199817618
Female,B.Tech,CSE,7.535801585363005
Female,B.Tech,CSE,7.235458592709372
Male,B.Tech,CND,6.303727082850063
Male,B.Tech,CSE,8.759933120383216
Male,B.Tech,CSE,6.364720290223052
Male,B.Tech,ECE,7.676221418525803
Male,B.Tech,ECE,6.741213561779496
Male,B.Tech,CND,8.010555592263763
Male,B.Tech,ECE,8.196838925999092
Male,B.Tech,ECE,6.673195361052369
Female,MS,CSE,8.582014530276743
Female,B.Tech,ECE,7.556244655755768
Female,B.Tech,ECE,6.3279624576188604
Male,B.Tech,ECE,6.793964460414469
Male,B.Tech,CSE,5.455174911110314
Male,MS,CSE,8.027647057651228
Other,B.Tech,ECE,5.579824733745873
Male,B.Tech,CSE,6.354254503994726
Male,B.Tech,ECE,8.271873998888985
Male,B.Tech,CSE,6.102427757941301
Male,PhD,CND,9.360772367512887
Female,B.Tech,ECE,7.586089365782524
Male,B.Tech,ECE,7.580785098454589
Male,B.Tech,ECE,6.008775298285215
Male,B.Tech,ECE,6.076427036445869
Male,B.Tech,ECE,7.2256969420103365
Male,B.Tech,CSE,5.1229716976858075
Male,B.Tech,ECE,6.383360563245127
Female,MS,ECE,9.162554070417386
Female,MS,ECE,7.517719296474767
Male,B.Tech,ECE,7.940760173778814
Male,MS,CND,8.252904469125372
Female,B.Tech,CSE,6.585571721447453
Male,B.Tech,CSE,6.080104721153119
Female,B.Tech,ECE,8.783771170277657
Female,MS,CSE,7.805501525525614
Male,B.Tech,ECE,6.4975451441975745
Male,B.Tech,CSE,5.828293970786146
Male,MS,CSE,8.355657398343416
Female,B.Tech,CHD,8.747459691592207
Female,B.Tech,ECE,7.120429635251161
Female,B.Tech,CSE,5.117709159312689
Male,B.Tech,ECE,6.515299382331965
Female,MS,CHD,7.768690932562668
Male,B.Tech,ECE,6.3361813701900696
Male,B.Tech,CHD,6.759186830359724
Male,MS,CSE,7.25933978217841
Female,B.Tech,CSE,5.583701708210321
Male,B.Tech,CSE,6.639197620973693
Male,B.Tech,CSE,5.919504367200497
Female,B.Tech,CSE,7.000714601173023
Female,PhD,CHD,7.658674258161655
Female,B.Tech,ECE,6.842557866619924
Male,B.Tech,ECE,7.922300082645295
Male,B.Tech,CSE,6.994528806482961
Male,B.Tech,CSE,7.133984001089806
Female,B.Tech,ECE,6.182615638489417
Female,B.Tech,CSE,5.354394873146235
Male,B.Tech,CHD,6.67363428110122
Female,B.Tech,ECE,4.5018242447781205
Male,MS,CSE,6.804162123957841
Male,B.Tech,ECE,6.808647847995479
Male,B.Tech,CSE,6.99403809533117
Female,PhD,ECE,8.572056368490628
Male,B.Tech,CSE,8.626591114075012
Male,MS,CSE,7.662352443242066
Male,B.Tech,CSE,7.6213132813914735
Female,B.Tech,CSE,8.961237708695744
Male,B.Tech,CSE,6.907664993418998
Male,MS,CHD,7.799954680814938
Male,B.Tech,CSE,7.219367153812569
Male,MS,CHD,8.088157827236342
Female,B.Tech,ECE,4.723575587204316
Male,B.Tech,CSE,6.3840013955661945
Male,B.Tech,CND,5.831443025441621
Male,MS,CHD,8.18462448762962
Male,MS,ECE,7.509545667989744
Female,B.Tech,CSE,6.298282556637222
Male,B.Tech,CSE,6.726354077603854
Male,B.Tech,CND,7.828630468543556
Male,B.Tech,CSE,7.971048328978992
Female,MS,CHD,6.876245812265318
Male,B.Tech,CSE,6.263739094645334
Male,MS,CSE,8.561693075530636
Female,PhD,CSE,8.416808821360199
Female,B.Tech,ECE,6.61382896057106
Male,PhD,CND,7.459968867909753
Male,B.Tech,CSE,6.691454196313636
Female,PhD,CND,8.269567799439441
Female,B.Tech,ECE,9.597993763715083
Male,MS,CSE,8.363263031730103
Female,B.Tech,CSE,5.832736063400557
Male,B.Tech,CSE,7.2170306320449225
Female,MS,CND,6.330230456912666
Female,MS,ECE,8.852914396600166
Female,PhD,CSE,8.351330990353297
Male,MS,ECE,7.6690775359718
Male,B.Tech,CHD,6.043171918637375
Female,B.Tech,CSE,7.143681339015979
Male,B.Tech,ECE,5.699206513597847
Female,B.Tech,ECE,6.479547570606153
Male,B.Tech,CSE,6.425983115128531
Male,B.Tech,CSE,6.107479361072905
Male,B.Tech,ECE,5.425607768668883
Male,B.Tech,CND,7.039060986120657
Male,PhD,ECE,8.392663773176121
Male,MS,CSE,6.775364429070764
Female,B.Tech,CSE,6.382639655569584
Male,MS,CSE,7.860535569192945
Male,B.Tech,ECE,7.721216981666242
Male,B.Tech,CND,7.549317252866881
Male,MS,CHD,6.969784097682533
Female,PhD,CHD,8.032213930603676
Male,MS,CHD,8.63689255969144
Male,B.Tech,ECE,7.977986038085076
Female,B.Tech,CSE,7.2686656300219665
Male,MS,CSE,7.381497603391532
Male,B.Tech,CSE,6.228543588466438
Male,B.Tech,ECE,5.829215049677235
Male,B.Tech,ECE,7.711212529751292
Female,B.Tech,CSE,6.336250571595129
Male,B.Tech,ECE,7.1299330506892264
Female,MS,CSE,7.057755022693656
Male,B.Tech,ECE,7.444517950311124
Female,B.Tech,CND,5.1490155484083155
Male,B.Tech,CHD,7.473876115852279
Male,PhD,CND,7.975722402051328
Male,B.Tech,ECE,6.94998971010557
Male,B.Tech,CSE,7.1117413675402705
Male,B.Tech,ECE,7.089339070899981
Female,PhD,ECE,7.649835221580677
Female,B.Tech,ECE,6.625114714946234
Female,MS,ECE,7.581262458444038
Male,B.Tech,CSE,6.269855302948185
Male,B.Tech,ECE,5.268276213905363
Female,B.Tech,ECE,6.75424333409003
Male,B.Tech,CSE,6.78072376444158
Female,B.Tech,CSE,7.651106641382504
Female,B.Tech,CHD,9.412747717229978
Female,B.Tech,CSE,6.870756783538516
Other,B.Tech,ECE,8.471571491500072
Male,MS,CND,8.659697796647933
Male,MS,CHD,8.276942498661914
Female,B.Tech,CSE,7.518829445146977
Male,MS,CND,7.304885018123855
Male,B.Tech,ECE,8.30793132331994
Male,MS,CND,7.4451247619772
Female,B.Tech,CSE,6.62988029798095
Male,B.Tech,CND,7.278478301302995
Male,B.Tech,ECE,7.742990525353381
Male,B.Tech,ECE,6.184912384835254
Female,B.Tech,CHD,6.3253925146716625
Female,B.Tech,ECE,7.526242620507544
Male,B.Tech,CSE,5.575501425143297
Male,B.Tech,ECE,6.559250935602256
Male,B.Tech,CSE,6.534303823613983
Male,B.Tech,CSE,7.794992641249046
Male,B.Tech,CSE,6.8668913378676715
Male,B.Tech,ECE,6.833773464697039
